,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,consent_value,description
13716,,Christchurch ,5/05/15,C/2015/4095,134 Kainga Road Brooklands  Christchurch ,134 Kainga Road,Brooklands,,Lot 150 DP 50840,"5,000",dwelling alteration - masport - r5000 - freestanding - dry - woodburner - ca131295
13717,,Christchurch ,5/05/15,C/2015/4037,59 Vanguard Drive Broomfield  Christchurch ,59 Vanguard Drive,Broomfield,,Lot 54 DP 40836,"5,000",dwelliing alteration - installation of a woodsman matai ecr mk iii free standing dry wood burner cac 102148
13718,,Christchurch ,5/05/15,C/2015/4067,36 Attlee Crescent Bryndwr  Christchurch ,36 Attlee Crescent,Bryndwr,,Lot 1 DP 33806,"5,000",dwelling alteration - installation of a woodsman totara fireplace insert dry wood burner cac 110220
13719,,Christchurch ,5/05/15,C/2015/4083,347 Clyde Road Bryndwr  Christchurch ,347 Clyde Road,Bryndwr,,Lot 223 DP 19548,"5,000",dwelling alteration - woodsman totara dry inbuilt woodburner - cac110220
13720,,Christchurch ,5/05/15,C/2015/4035,34 Vardon Crescent Shirley  Christchurch ,34 Vardon Crescent,Shirley,,Lot 26 DP 21794,"5,000",dwelling alteration - woodsman totara dry insert woodburner - cac110220
13721,,Christchurch ,5/05/15,C/2015/3962,66 Woolley Street Avondale  Christchurch ,66 Woolley Street,Avondale,,Lot 33 DP 27058,"4,500",dwelling alteration - masport 15000 dry inbuilt woodburner - cac111499
13722,,Christchurch ,5/05/15,C/2015/3642,5041 Christchurch Akaroa Road Little River  Christchurch ,5041 Christchurch Akaroa Road,Little River,,"Pt RSs 13509,15589,15589 Canterbury Dist","4,500",dwelling alterations - installation of pyroclassic iv freestanding dry woodburner - cac121121
13723,,Christchurch ,5/05/15,C/2015/4045,3 Van Dieman Close Templeton  Christchurch ,3 Van Dieman Close,Templeton,,Lot 40 DP 63784,"3,000",dwelling alteration - installation of masport f3300c freestanding wetback woodburner cac122351
13724,,Christchurch ,5/05/15,C/2015/3957,23 Dalkeith Street Hoon Hay  Christchurch ,23 Dalkeith Street,Hoon Hay,,Flat 1 DP 59991 on Lot 1 DP 59990 having share in 1278 m2,"2,900",dwelling alteration - installation of a woodsman tasman dry mkii freestanding woodburner cac142898
13755,,Christchurch ,6/05/15,C/2015/3853,29 Kiteroa Place Cashmere  Christchurch ,29 Kiteroa Place,Cashmere,,Lot 2 DP 69713,"12,000",dwelling alteration - installation of rais bionic fire uled - freestanding dry woodburner - cac#154319
13758,,Christchurch ,6/05/15,C/2015/4132,12 Inca Place Redwood  Christchurch ,12 Inca Place,Redwood,,Lot 7 DP 27293,"6,000",dwelling alteration - installation of pyroclassic iv free-standing dry woodburner - cac 121121
13759,,Christchurch ,6/05/15,C/2015/4130,44 Bellbrook Crescent Shirley  Christchurch ,44 Bellbrook Crescent,Shirley,,Lot 598 DP 21010,"6,000",dwelling alteration - installation of woodsman matai ecr mk iii freestanding dry woodburner cac102148
13760,,Christchurch ,6/05/15,C/2015/3940,18 Deloraine Street Spreydon  Christchurch ,18 Deloraine Street,Spreydon,,Lot 22 DP 18740,"5,000",dwelling alteration - installation of a woodsman tasman wetback mk ii freestanding wetback wood burner  cac 142899
13762,,Christchurch ,6/05/15,C/2015/4041,52 Bellbrook Crescent Shirley  Christchurch ,52 Bellbrook Crescent,Shirley,,Lot 602 DP 21010,"5,000",dwelling alteration - woodsman totara dry insert woodburner - cac110220
13763,,Christchurch ,6/05/15,C/2015/4101,25 Jebson Street Shirley  Christchurch ,25 Jebson Street,Shirley,,Lot 1 DP 54832,"5,000",dwelling alteration - woodsman totara dry insert woodburner - cac110220
13764,,Christchurch ,6/05/15,C/2015/3941,120 Highsted Road Casebrook  Christchurch ,120 Highsted Road,Casebrook,,Flat 1 DP 64641 on Lot 4 DP 21159 having share in 1528 m2,"4,500",dwelling alteration - installation of metro eco smart insert dry woodburner cac 102411
13765,,Christchurch ,6/05/15,C/2015/3959,530 Marshland Road Marshland  Christchurch ,530 Marshland Road,Marshland,,Lot 5 DP 3184,"4,000",dwelling alteration - masport f3300c dry freestanding woodburner - cac103815
13766,,Christchurch ,6/05/15,C/2015/3284,12 Van Dieman Close Templeton  Christchurch ,12 Van Dieman Close,Templeton,,Lot 60 DP 63784,"4,000",dwelling alteration - installation of woodsman tarras freestanding dry woodburner - cac14392
13767,,Christchurch ,6/05/15,C/2015/4066,36 Jacksons Road Lyttelton  Christchurch ,36 Jacksons Road,Lyttelton,,Lot 1 DP 51831,"3,495",dwelling alteration - installation of masport r1500p freestanding dry woodburner cac121119
13768,,Christchurch ,6/05/15,C/2015/4051,2/3 Selsey Lane Somerfield  Christchurch ,2/3 Selsey Lane,Somerfield,,Unit B DP 38016 on Lot 2 DP 34468 having share in 747 m2,"3,300",dwelling alteration - installation of bosca limit 380 freestanding dry woodburner - cac110717
13769,,Christchurch ,6/05/15,C/2015/3768,14 Rosamund Place Oaklands  Christchurch ,14 Rosamund Place,Oaklands,,Lot 6 DP 27998,"2,500",dwelling alteration - masport r5000 dry freestanding woodburner - cac131295
13770,,Christchurch ,6/05/15,C/2015/4159,14 Gilmour Terrace Lyttelton  Christchurch ,14 Gilmour Terrace,Lyttelton,,Lot 7 DP 14032,"2,500",dwelling alteration - woodsman matai ecr mk iii dry freestanding woodburner - cac102148
13771,,Christchurch ,6/05/15,C/2015/4127,28 Oakley Crescent Hornby  Christchurch ,28 Oakley Crescent,Hornby,,Lot 52 DP 37078,"1,300",dwelling alterations - installation of woodsman ecr novo freestanding dry woodburner - cac153733
13790,,Christchurch ,7/05/15,C/2015/3883,11 Whitehall Street St Albans  Christchurch ,11 Whitehall Street,St Albans,,Lot 13 DP 19107,"5,500",dwelling alteration- installation of a masport r5000 freestanding wetback woodburner cac 131556
13791,,Christchurch ,7/05/15,C/2015/4057,35 Menzies Street Sumner  Christchurch ,35 Menzies Street,Sumner,,Pt Res 144 Christchurch Town,"4,900",dwelling alteration - woodsman tarras dry mkiii freestanding woodburner - cac143492
13792,,Christchurch ,7/05/15,C/2015/4258,144A Shortland Street Aranui  Christchurch ,144A Shortland Street,Aranui,,Lot 6 DP 24360,"4,500",dwelling alteration - installation of masport r1600 free-standing dry woodburner - cac 133819
13793,,Christchurch ,7/05/15,C/2015/4259,73 Brynley Street Hornby  Christchurch ,73 Brynley Street,Hornby,,Lot 4 DP 23299,"4,500",dwelling alterations - installation of masport 13000 insert woodburner dry cac103869
13794,,Christchurch ,7/05/15,C/2015/4257,112 Hay Street Bromley  Christchurch ,112 Hay Street,Bromley,,Lot 256 DP 35982,"4,500",dwelling alteration - installation of masport r1600 freestanding dry woodburner cac133819
13795,,Christchurch ,7/05/15,C/2015/3968,69 Leaver Terrace North New Brighton  Christchurch ,69 Leaver Terrace,North New Brighton,,Pt Lot 48 DP 1292,"4,500",dwelling alteration - installation of a woodsman flare freestanding wetback wood burner cac 135021
13796,,Christchurch ,7/05/15,C/2015/4265,102 Sullivan Avenue Woolston  Christchurch ,102 Sullivan Avenue,Woolston,,Lot 78 DP 2117,"4,000",dwelling alterations - installation of masport osburn 1600 new freestanding woodburner cac 090550
13797,,Christchurch ,7/05/15,C/2015/3861,8 Chedworth Avenue Bishopdale  Christchurch ,8 Chedworth Avenue,Bishopdale,,Lot 396 DP 23892,"4,000",dwelling alteration - installation of masport bannockburn i2000 insert dry woodburner cac - 154102
13798,,Christchurch ,7/05/15,C/2015/3714,2/523A Marine Parade South New Brighton  Christchurch ,2/523A Marine Parade,South New Brighton,,Flat 2 DP 37557 on Lot 11 DP 6806 having share in 612 m2,"1,600",dwelling alteration - woodsman matai ecr mk iii dry freestanding woodburner - cac102148
13799,,Christchurch ,7/05/15,C/2015/4302,1/44 Pinehurst Crescent Russley  Christchurch ,1/44 Pinehurst Crescent,Russley,,Flat 1 DP 59356 on Lot 23 DP 21035 having share in 812 m2,"1,400",dwelling alteration - installation of a woodsman ecr novo freestanding dry wood burner cac 153733
13827,,Christchurch ,8/05/15,C/2015/4123,6 Patchett Place Cashmere  Christchurch ,6 Patchett Place,Cashmere,,Lot 4 DP 23730,"12,009",dwelling alterations - installation of jayline waltherm - uleb - freestanding - woodburner dry cac#153807
13829,,Christchurch ,8/05/15,C/2015/4298,18 Kissel Street Templeton  Christchurch ,18 Kissel Street,Templeton,,Lot 1 DP 23746,"5,000",dwelling alterations - installation of woodsman tasman ii new freestanding wetback woodburner cac 142899
13830,,Christchurch ,8/05/15,C/2015/4115,67 Lonsdale Street New Brighton  Christchurch ,67 Lonsdale Street,New Brighton,,Pt Lot 41 DP 1035,"5,000",dwelling alteration - installation of woodsman aspen dry freestanding dry woodburner cac111306
13831,,Christchurch ,8/05/15,C/2015/4210,52 Stapletons Road Richmond  Christchurch ,52 Stapletons Road,Richmond,,Lot 16 DP 3463,"5,000",dwelling alteration - installation of a masport f3000 freestanding dry wood burner cac 092856
13832,,Christchurch ,8/05/15,C/2015/4275,11A Highsted Road Bishopdale  Christchurch ,11A Highsted Road,Bishopdale,,Lot 1 DP 360012,"5,000",dwelling alteration - installation of a woodsman tasman dry mk ii freestanding dry wood burner  cac 142898
13833,,Christchurch ,8/05/15,C/2015/4358,29 Massey Crescent St Albans  Christchurch ,29 Massey Crescent,St Albans,,Lot 1 DP 6562,"5,000",dwelling alteration - installation of woodsman tasman mk ii freestanding dry woodburner cac142898
13834,,Christchurch ,8/05/15,C/2015/3507,55 Roker Street Spreydon  Christchurch ,55 Roker Street,Spreydon,,Flat 1 DP 72371 on Lot 50 DP 16435 having share in 857 m2,"5,000",dwelling alteration - installation of masport f3000 freestanding dry woodburner cac092856
13835,,Christchurch ,8/05/15,C/2015/3475,24 Santa Rosa Avenue Oaklands  Christchurch ,24 Santa Rosa Avenue,Oaklands,,Lot 11 DP 20844,"5,000",dwelling alteration - installation of metro eco smart insert wetback woodburner - cac102426
13836,,Christchurch ,8/05/15,C/2015/3695,32 Jenkins Avenue Redwood  Christchurch ,32 Jenkins Avenue,Redwood,,Lot 23 DP 35435,"5,000",dwelling alteration - installation of masport hestia 2 clean air freestanding dry woodburner cac110045
13837,,Christchurch ,8/05/15,C/2015/4398,125 Emmett Street Shirley  Christchurch ,125 Emmett Street,Shirley,,Lot 304 DP 16155,"5,000",dwelling alteration - installation of woodsman totara in-built dry woodburner cac110220
13838,,Christchurch ,8/05/15,C/2015/4278,2/47 Hay Street Bromley  Christchurch ,2/47 Hay Street,Bromley,,Flat 2 DP 67347 on Lot 21 DP 1957 having share in 1012 m2,"4,500",dwelling alteration - installation of tropicair kowhai mkiii freestanding dry woodburner cac - 090722
13839,,Christchurch ,8/05/15,C/2015/4227,86 Bridle Path Road Heathcote  Christchurch ,86 Bridle Path Road,Heathcote,,"Lots 1,3 DP 412440","4,400",dwelling alteration - installation of masport r5000l freestanding dry woodburner cac131295
13840,,Christchurch ,8/05/15,C/2015/4280,9 Muir Avenue Halswell  Christchurch ,9 Muir Avenue,Halswell,,Lot 19 DP 40663,"4,300",dwelling alteration - tropicair - tawa mk iii - insert - dry - woodburner - cac111879
13841,,Christchurch ,8/05/15,C/2015/4237,30 Merlincote Crescent Governors Bay  Christchurch ,30 Merlincote Crescent,Governors Bay,,Lot 1 DP 15997,"4,200",dwelling alterations - installation of metro xtreme rad new freestanding woodburner cac 132245
13842,,Christchurch ,8/05/15,C/2015/4218,15 Ranui Street Hei Hei  Christchurch ,15 Ranui Street,Hei Hei,,Lot 165 DP 19822,"2,500",dwelling alteration - installation of a tropicair kowhai mk iii freestanding dry wood burner cac 090722
13843,,Christchurch ,8/05/15,C/2015/4216,15 Blake Street South New Brighton  Christchurch ,15 Blake Street,South New Brighton,,Lot 1 DP 24884,"2,200",dwelling alteration - installation of tropicair rimu mk iii freestanding dry woodburner cac090721
13844,,Christchurch ,8/05/15,C/2015/4294,26 Bengal Drive Cashmere  Christchurch ,26 Bengal Drive,Cashmere,,Lot 33 DP 35650,"2,000",dwelling alteration - installation of a second hand ethos fs100 freestanding dry wood burner cac 02010
13848,,Christchurch ,8/05/15,C/2015/2661/A,195A Ashgrove Terrace Spreydon  Christchurch ,195A Ashgrove Terrace,Spreydon,,"Lot 2 DP 18285, Lot 1 DP 44725",100,amendment 1 - relocate wood burner
13881,,Christchurch ,11/05/15,C2015/4207,206 Dyers Pass Road Cashmere  Christchurch ,206 Dyers Pass Road,Cashmere,,Lot 1 DP 81978,"8,000",dwelling alteration - installation of a masport r5000 freestanding dry wood burner cac 131295
13882,,Christchurch ,11/05/15,C2015/4352,44 Colman Avenue Upper Riccarton  Christchurch ,44 Colman Avenue,Upper Riccarton,,Lot 46 DP 17736,"4,100",dwelling alteration - installation of masport f3000 freestanding dry woodburner cac - 092856
13883,,Christchurch ,11/05/15,C2015/3933,15 Basingstoke Street Wainoni  Christchurch ,15 Basingstoke Street,Wainoni,,Lot 253 DP 22293,"1,000",dwelling alteration - instalation of a second hand yunca wegj 2000 (sub 1.0 ) freestanding dry wood burner cac 130432
13904,,Christchurch ,12/05/15,C2015/2625,412 Papanui Road Papanui  Christchurch ,412 Papanui Road,Papanui,,Lot 1 DP 2938,"150,000","dwelling alteration - repair and relevel floor and foundation, remove stone wall and installation two metro eco smart insert wood burners cac102411"
13906,,Christchurch ,12/05/15,C2015/4183,32 Inwoods Road Parklands  Christchurch ,32 Inwoods Road,Parklands,,Lot 9 DP 30570,"45,000",dwelling alteration - installation of woodsman tarras dry mkiii freestanding dry woodburner cac - 143492
