id,add,statue
7233,"15 Glenfield Crescent, Mairehau, Christchurch",Request timed out
7240,"36 Woodlau Rise, Huntsbury, Christchurch",Request timed out
7250,"22 Carlsen Street, Burwood, Christchurch",Request timed out
7257,"10 Virginia Lane, Mount Pleasant, Christchurch",Request timed out
7264,"105 Randolph Street, Woolston, Christchurch",Request timed out
7280,"19 Roberts Road, Hei Hei, Christchurch",Request timed out
7281,"15 Brockhall Lane, Avonhead, Christchurch",Request timed out
7305,"25 Glynne Crescent, Spreydon, Christchurch",Request timed out
7310,"212 Barrington Street, Somerfield, Christchurch",Request timed out
7338,"24 Waterford Avenue, Northwood, Christchurch",Request timed out
7360,"1/184 Stanmore Road, Linwood, Christchurch",Request timed out
7381,"11 Albert Terrace, Saint Martins, Christchurch",Request timed out
7391,"18 Concord Place, Burwood, Christchurch",Request timed out
7395,"77 Basingstoke Street, Aranui, Christchurch",Request timed out
7413,"2/160B Highsted Road, Casebrook, Christchurch",Request timed out
7435,"30 Checketts Avenue, Halswell, Christchurch",Request timed out
7438,"3 Brodie Street, Ilam, Christchurch",Request timed out
7442,"3 Murmont Street, Bishopdale, Christchurch",Request timed out
7460,"41 Colombo Street, Cashmere, Christchurch",Request timed out
7461,"42 Beckenham Street, Sydenham, Christchurch",Request timed out
7463,"1 Roseneath Place, Cashmere, Christchurch",Request timed out
7466,"290 Westminster Street, Mairehau, Christchurch",Request timed out
7495,"16 Takapu Place, Bromley, Christchurch",Request timed out
7648,"20 Park Terrace, Christchurch Central, Christchurch",Request timed out
7680,"1/1 Musgrove Close, Wigram, Christchurch",Request timed out
7716,"558 Cashel Street, Linwood, Christchurch",Request timed out
7747,"119 Colombo Street, Sydenham, Christchurch",Request timed out
7932,"2 Jacaranda Place, Parklands, Christchurch",Request timed out
7937,"10 Howe Street, New Brighton, Christchurch",Request timed out
7961,"3/30 Garvins Road, Hornby, Christchurch",Request timed out
8079,"1/107 Bayswater Crescent, Bromley, Christchurch",Request timed out
8083,"74B Spencer Street, Addington, Christchurch",Request timed out
8163,"14 Brook Street, Bexley, Christchurch",Request timed out
8192,"401B/113 Worcester Street, Christchurch Central, Christchurch",Request timed out
8375,"14 Rossiter Avenue, Redwood, Christchurch",Request timed out
8389,"24 Lane Street, Woolston, Christchurch",Request timed out
8406,"1/110 Farrington Avenue, Bishopdale, Christchurch",Request timed out
8446,"10 Astor Place, Halswell, Christchurch",Request timed out
8462,"69B Ashgrove Terrace, Somerfield, Christchurch",Request timed out
8514,"108 Mays Road, St Albans, Christchurch",Request timed out
8519,"76 Hawdon Street, Sydenham, Christchurch",Request timed out
8521,"210 Colombo Street, Sydenham, Christchurch",Request timed out
8554,"31 Balmoral Lane, Redcliffs, Christchurch",Request timed out
8561,"34 Foresters Crescent, Parklands, Christchurch",Request timed out
8598,"550 Cranford Street, Papanui, Christchurch",Request timed out
8607,"103 Salisbury Street, Christchurch Central, Christchurch",Request timed out
8609,"64 Waltham Road, Sydenham, Christchurch",Request timed out
8617,"15 Coopers Road, Dallington, Christchurch",Request timed out
8635,"23 Panorama Road, Clifton, Christchurch",Request timed out
8642,"3/17 Bond Street, Waltham, Christchurch",Request timed out
8646,"70B Merrin Street, Avonhead, Christchurch",Request timed out
8682,"30 Wattle Drive, New Brighton, Christchurch",Request timed out
8700,"29 Stoneyhurst Street, St Albans, Christchurch",Request timed out
8706,"10 Roydon Drive, Templeton, Christchurch",Request timed out
8735,"52 Wayside Avenue, Burnside, Christchurch",Request timed out
8736,"11 Morley Street, Bryndwr, Christchurch",Request timed out
8745,"13 Dobson Street, Spreydon, Christchurch",Request timed out
8771,"37 Woodlands Place, Aranui, Christchurch",Request timed out
8774,"12 Bay View Road, Moncks Bay, Christchurch",Request timed out
8779,"1/107 Rowley Avenue, Hoon Hay, Christchurch",Request timed out
